/home/zhaoyu/miniconda3/envs/test/lib/python3.11/site-packages/dgl/graphbolt/__init__.py:114: GBWarning: 
An experimental feature for CUDA allocations is turned on for better allocation
pattern resulting in better memory usage for minibatch GNN training workloads.
See https://pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf,
and set the environment variable `PYTORCH_CUDA_ALLOC_CONF=expandable_segments:False`
if you want to disable it and set it True to acknowledge and disable the warning.

  gb_warning(WARNING_STR_TO_BE_SHOWN)
Namespace(dataset='ogbn-products', data_path='./dataset/', part_path='./partition/', graph_name='ogbn-products-5-metis-vol-trans', model='graphsage', dropout=0.3, lr=0.003, sampling_rate=0.1, heads=1, n_epochs=500, n_partitions=5, n_hidden=128, n_layers=3, log_every=10, weight_decay=0, norm='layer', partition_obj='vol', partition_method='metis', n_linear=0, use_pp=True, inductive=False, fix_seed=True, seed=3, backend='gloo', port=18300, master_addr='127.0.0.1', node_rank=0, parts_per_node=10, skip_partition=True, eval=True)
loading partitions
Process 1 has 711752 nodes, 22307144 edges 475516 inner nodes, and 19479032 inner edges.
Process 1 start training
Process 001 | Epoch 00009 | Time(s) 0.4840 | Comm(s) 0.3235 | Reduce(s) 0.0478 | Loss 0.8396
Process 001 | Epoch 00139 | Time(s) 0.6286 | Comm(s) 0.3673 | Reduce(s) 0.0493 | Loss 0.1013
Process 001 | Epoch 00149 | Time(s) 0.6275 | Comm(s) 0.3677 | Reduce(s) 0.0494 | Loss 0.0966
Process 001 | Epoch 00159 | Time(s) 0.6272 | Comm(s) 0.3677 | Reduce(s) 0.0495 | Loss 0.0926
Process 001 | Epoch 00169 | Time(s) 0.6305 | Comm(s) 0.3671 | Reduce(s) 0.0496 | Loss 0.0915
Process 001 | Epoch 00179 | Time(s) 0.6314 | Comm(s) 0.3676 | Reduce(s) 0.0497 | Loss 0.0887
Process 001 | Epoch 00189 | Time(s) 0.6326 | Comm(s) 0.3681 | Reduce(s) 0.0493 | Loss 0.0876
Process 001 | Epoch 00199 | Time(s) 0.6352 | Comm(s) 0.3681 | Reduce(s) 0.0489 | Loss 0.0870
Process 001 | Epoch 00209 | Time(s) 0.6333 | Comm(s) 0.3672 | Reduce(s) 0.0487 | Loss 0.0850
Process 001 | Epoch 00219 | Time(s) 0.6362 | Comm(s) 0.3670 | Reduce(s) 0.0489 | Loss 0.0843
Process 001 | Epoch 00229 | Time(s) 0.6367 | Comm(s) 0.3668 | Reduce(s) 0.0490 | Loss 0.0799
Process 001 | Epoch 00239 | Time(s) 0.6385 | Comm(s) 0.3671 | Reduce(s) 0.0491 | Loss 0.0802
Process 001 | Epoch 00249 | Time(s) 0.6382 | Comm(s) 0.3673 | Reduce(s) 0.0489 | Loss 0.0791
Process 001 | Epoch 00259 | Time(s) 0.6384 | Comm(s) 0.3673 | Reduce(s) 0.0490 | Loss 0.0788
Process 001 | Epoch 00269 | Time(s) 0.6381 | Comm(s) 0.3680 | Reduce(s) 0.0490 | Loss 0.0809
Process 001 | Epoch 00279 | Time(s) 0.6375 | Comm(s) 0.3677 | Reduce(s) 0.0492 | Loss 0.0756
Process 001 | Epoch 00289 | Time(s) 0.6375 | Comm(s) 0.3676 | Reduce(s) 0.0493 | Loss 0.0779
Process 001 | Epoch 00299 | Time(s) 0.6395 | Comm(s) 0.3679 | Reduce(s) 0.0493 | Loss 0.0746
Process 001 | Epoch 00309 | Time(s) 0.6394 | Comm(s) 0.3679 | Reduce(s) 0.0490 | Loss 0.0754
Process 001 | Epoch 00319 | Time(s) 0.6403 | Comm(s) 0.3685 | Reduce(s) 0.0490 | Loss 0.0756
Process 001 | Epoch 00329 | Time(s) 0.6404 | Comm(s) 0.3690 | Reduce(s) 0.0491 | Loss 0.0740
Process 001 | Epoch 00339 | Time(s) 0.6406 | Comm(s) 0.3691 | Reduce(s) 0.0492 | Loss 0.0736
Process 001 | Epoch 00349 | Time(s) 0.6416 | Comm(s) 0.3699 | Reduce(s) 0.0491 | Loss 0.0712
Process 001 | Epoch 00359 | Time(s) 0.6416 | Comm(s) 0.3696 | Reduce(s) 0.0491 | Loss 0.0723
Process 001 | Epoch 00369 | Time(s) 0.6406 | Comm(s) 0.3694 | Reduce(s) 0.0491 | Loss 0.0735
Process 001 | Epoch 00379 | Time(s) 0.6411 | Comm(s) 0.3694 | Reduce(s) 0.0492 | Loss 0.0698
Process 001 | Epoch 00389 | Time(s) 0.6416 | Comm(s) 0.3694 | Reduce(s) 0.0492 | Loss 0.0708
Process 001 | Epoch 00399 | Time(s) 0.6434 | Comm(s) 0.3693 | Reduce(s) 0.0493 | Loss 0.0699
Process 001 | Epoch 00409 | Time(s) 0.6435 | Comm(s) 0.3694 | Reduce(s) 0.0493 | Loss 0.0697
Process 001 | Epoch 00419 | Time(s) 0.6438 | Comm(s) 0.3692 | Reduce(s) 0.0493 | Loss 0.0691
Process 001 | Epoch 00429 | Time(s) 0.6446 | Comm(s) 0.3695 | Reduce(s) 0.0494 | Loss 0.0670
Process 001 | Epoch 00439 | Time(s) 0.6441 | Comm(s) 0.3695 | Reduce(s) 0.0494 | Loss 0.0674
Process 001 | Epoch 00449 | Time(s) 0.6438 | Comm(s) 0.3696 | Reduce(s) 0.0494 | Loss 0.0673
Process 001 | Epoch 00459 | Time(s) 0.6438 | Comm(s) 0.3696 | Reduce(s) 0.0493 | Loss 0.0659
Process 001 | Epoch 00469 | Time(s) 0.6436 | Comm(s) 0.3697 | Reduce(s) 0.0494 | Loss 0.0670
Process 001 | Epoch 00479 | Time(s) 0.6434 | Comm(s) 0.3695 | Reduce(s) 0.0494 | Loss 0.0670
Process 001 | Epoch 00489 | Time(s) 0.6436 | Comm(s) 0.3695 | Reduce(s) 0.0493 | Loss 0.0665
Process 001 | Epoch 00499 | Time(s) 0.6444 | Comm(s) 0.3696 | Reduce(s) 0.0495 | Loss 0.0676
(rank 1) memory stats: current 1220.73MB, peak 4434.36MB, reserved 5112.00MB
loading partitions
Process 2 has 692600 nodes, 27267637 edges 504513 inner nodes, and 24126075 inner edges.
Process 2 start training
Process 002 | Epoch 00009 | Time(s) 0.4841 | Comm(s) 0.3181 | Reduce(s) 0.0470 | Loss 2.1379
Process 002 | Epoch 00019 | Time(s) 0.5525 | Comm(s) 0.3541 | Reduce(s) 0.0444 | Loss 1.2666
Process 002 | Epoch 00029 | Time(s) 0.6145 | Comm(s) 0.3558 | Reduce(s) 0.0447 | Loss 0.9228
Process 002 | Epoch 00039 | Time(s) 0.6360 | Comm(s) 0.3594 | Reduce(s) 0.0461 | Loss 0.7488
Process 002 | Epoch 00049 | Time(s) 0.6386 | Comm(s) 0.3639 | Reduce(s) 0.0457 | Loss 0.6552
Process 002 | Epoch 00059 | Time(s) 0.6343 | Comm(s) 0.3662 | Reduce(s) 0.0450 | Loss 0.5991
Process 002 | Epoch 00069 | Time(s) 0.6335 | Comm(s) 0.3676 | Reduce(s) 0.0454 | Loss 0.5625
Process 002 | Epoch 00079 | Time(s) 0.6406 | Comm(s) 0.3704 | Reduce(s) 0.0453 | Loss 0.5337
Process 002 | Epoch 00089 | Time(s) 0.6366 | Comm(s) 0.3699 | Reduce(s) 0.0452 | Loss 0.5084
Process 002 | Epoch 00099 | Time(s) 0.6339 | Comm(s) 0.3695 | Reduce(s) 0.0451 | Loss 0.4852
Process 002 | Epoch 00109 | Time(s) 0.6309 | Comm(s) 0.3668 | Reduce(s) 0.0448 | Loss 0.4655
Process 002 | Epoch 00119 | Time(s) 0.6302 | Comm(s) 0.3660 | Reduce(s) 0.0446 | Loss 0.4488
Process 002 | Epoch 00129 | Time(s) 0.6282 | Comm(s) 0.3646 | Reduce(s) 0.0444 | Loss 0.4364
Process 002 | Epoch 00139 | Time(s) 0.6286 | Comm(s) 0.3640 | Reduce(s) 0.0441 | Loss 0.4212
Process 002 | Epoch 00149 | Time(s) 0.6275 | Comm(s) 0.3636 | Reduce(s) 0.0442 | Loss 0.4164
Process 002 | Epoch 00159 | Time(s) 0.6272 | Comm(s) 0.3622 | Reduce(s) 0.0444 | Loss 0.4077
Process 002 | Epoch 00169 | Time(s) 0.6305 | Comm(s) 0.3621 | Reduce(s) 0.0444 | Loss 0.4001
Process 002 | Epoch 00179 | Time(s) 0.6313 | Comm(s) 0.3626 | Reduce(s) 0.0443 | Loss 0.3894
Process 002 | Epoch 00189 | Time(s) 0.6327 | Comm(s) 0.3632 | Reduce(s) 0.0438 | Loss 0.3814
Process 002 | Epoch 00199 | Time(s) 0.6352 | Comm(s) 0.3639 | Reduce(s) 0.0437 | Loss 0.3798
Process 002 | Epoch 00209 | Time(s) 0.6333 | Comm(s) 0.3630 | Reduce(s) 0.0434 | Loss 0.3724
Process 002 | Epoch 00219 | Time(s) 0.6362 | Comm(s) 0.3630 | Reduce(s) 0.0435 | Loss 0.3641
Process 002 | Epoch 00229 | Time(s) 0.6367 | Comm(s) 0.3624 | Reduce(s) 0.0434 | Loss 0.3639
Process 002 | Epoch 00239 | Time(s) 0.6385 | Comm(s) 0.3625 | Reduce(s) 0.0434 | Loss 0.3535
Process 002 | Epoch 00249 | Time(s) 0.6382 | Comm(s) 0.3623 | Reduce(s) 0.0434 | Loss 0.3566
Process 002 | Epoch 00259 | Time(s) 0.6384 | Comm(s) 0.3625 | Reduce(s) 0.0432 | Loss 0.3562
Process 002 | Epoch 00269 | Time(s) 0.6381 | Comm(s) 0.3628 | Reduce(s) 0.0432 | Loss 0.3510
Process 002 | Epoch 00279 | Time(s) 0.6375 | Comm(s) 0.3627 | Reduce(s) 0.0433 | Loss 0.3438
Process 002 | Epoch 00289 | Time(s) 0.6375 | Comm(s) 0.3624 | Reduce(s) 0.0435 | Loss 0.3441
Process 002 | Epoch 00299 | Time(s) 0.6395 | Comm(s) 0.3631 | Reduce(s) 0.0435 | Loss 0.3402
Process 002 | Epoch 00309 | Time(s) 0.6393 | Comm(s) 0.3631 | Reduce(s) 0.0433 | Loss 0.3355
Process 002 | Epoch 00319 | Time(s) 0.6403 | Comm(s) 0.3641 | Reduce(s) 0.0433 | Loss 0.3363
Process 002 | Epoch 00329 | Time(s) 0.6403 | Comm(s) 0.3648 | Reduce(s) 0.0433 | Loss 0.3320
Process 002 | Epoch 00339 | Time(s) 0.6406 | Comm(s) 0.3649 | Reduce(s) 0.0435 | Loss 0.3310
Process 002 | Epoch 00349 | Time(s) 0.6416 | Comm(s) 0.3648 | Reduce(s) 0.0436 | Loss 0.3300
Process 002 | Epoch 00359 | Time(s) 0.6416 | Comm(s) 0.3650 | Reduce(s) 0.0436 | Loss 0.3313
Process 002 | Epoch 00369 | Time(s) 0.6405 | Comm(s) 0.3650 | Reduce(s) 0.0436 | Loss 0.3262
Process 002 | Epoch 00379 | Time(s) 0.6411 | Comm(s) 0.3647 | Reduce(s) 0.0436 | Loss 0.3211
Process 002 | Epoch 00389 | Time(s) 0.6415 | Comm(s) 0.3647 | Reduce(s) 0.0437 | Loss 0.3258
Process 002 | Epoch 00399 | Time(s) 0.6434 | Comm(s) 0.3646 | Reduce(s) 0.0437 | Loss 0.3163
Process 002 | Epoch 00409 | Time(s) 0.6434 | Comm(s) 0.3648 | Reduce(s) 0.0437 | Loss 0.3153
Process 002 | Epoch 00419 | Time(s) 0.6438 | Comm(s) 0.3645 | Reduce(s) 0.0436 | Loss 0.3195
Process 002 | Epoch 00429 | Time(s) 0.6446 | Comm(s) 0.3650 | Reduce(s) 0.0437 | Loss 0.3112
Process 002 | Epoch 00439 | Time(s) 0.6441 | Comm(s) 0.3652 | Reduce(s) 0.0437 | Loss 0.3140
Process 002 | Epoch 00449 | Time(s) 0.6438 | Comm(s) 0.3652 | Reduce(s) 0.0437 | Loss 0.3114
Process 002 | Epoch 00459 | Time(s) 0.6438 | Comm(s) 0.3651 | Reduce(s) 0.0438 | Loss 0.3072
Process 002 | Epoch 00469 | Time(s) 0.6436 | Comm(s) 0.3647 | Reduce(s) 0.0438 | Loss 0.3080
Process 002 | Epoch 00479 | Time(s) 0.6434 | Comm(s) 0.3646 | Reduce(s) 0.0436 | Loss 0.3069
Process 002 | Epoch 00489 | Time(s) 0.6436 | Comm(s) 0.3644 | Reduce(s) 0.0435 | Loss 0.3052
Process 002 | Epoch 00499 | Time(s) 0.6443 | Comm(s) 0.3649 | Reduce(s) 0.0436 | Loss 0.3039
(rank 2) memory stats: current 1408.61MB, peak 4916.40MB, reserved 5834.00MB
loading partitions
Process 4 has 784033 nodes, 35278576 edges 504514 inner nodes, and 28400360 inner edges.
Process 4 start training
Process 004 | Epoch 00009 | Time(s) 0.4840 | Comm(s) 0.3171 | Reduce(s) 0.0455 | Loss 2.0936
Process 004 | Epoch 00019 | Time(s) 0.5525 | Comm(s) 0.3499 | Reduce(s) 0.0432 | Loss 1.2694
Process 004 | Epoch 00029 | Time(s) 0.6144 | Comm(s) 0.3499 | Reduce(s) 0.0451 | Loss 0.9039
Process 004 | Epoch 00039 | Time(s) 0.6359 | Comm(s) 0.3532 | Reduce(s) 0.0448 | Loss 0.7640
Process 004 | Epoch 00049 | Time(s) 0.6386 | Comm(s) 0.3593 | Reduce(s) 0.0440 | Loss 0.6905
Process 004 | Epoch 00059 | Time(s) 0.6343 | Comm(s) 0.3604 | Reduce(s) 0.0440 | Loss 0.6323
Process 004 | Epoch 00069 | Time(s) 0.6335 | Comm(s) 0.3605 | Reduce(s) 0.0444 | Loss 0.6004
Process 004 | Epoch 00079 | Time(s) 0.6406 | Comm(s) 0.3613 | Reduce(s) 0.0442 | Loss 0.5743
Process 004 | Epoch 00089 | Time(s) 0.6365 | Comm(s) 0.3630 | Reduce(s) 0.0436 | Loss 0.5496
Process 004 | Epoch 00099 | Time(s) 0.6339 | Comm(s) 0.3624 | Reduce(s) 0.0433 | Loss 0.5300
Process 004 | Epoch 00109 | Time(s) 0.6309 | Comm(s) 0.3611 | Reduce(s) 0.0437 | Loss 0.5155
Process 004 | Epoch 00119 | Time(s) 0.6302 | Comm(s) 0.3602 | Reduce(s) 0.0436 | Loss 0.4976
Process 004 | Epoch 00129 | Time(s) 0.6282 | Comm(s) 0.3592 | Reduce(s) 0.0436 | Loss 0.4848
Process 004 | Epoch 00139 | Time(s) 0.6286 | Comm(s) 0.3598 | Reduce(s) 0.0433 | Loss 0.4750
Process 004 | Epoch 00149 | Time(s) 0.6275 | Comm(s) 0.3597 | Reduce(s) 0.0434 | Loss 0.4618
Process 004 | Epoch 00159 | Time(s) 0.6272 | Comm(s) 0.3589 | Reduce(s) 0.0432 | Loss 0.4583
Process 004 | Epoch 00169 | Time(s) 0.6305 | Comm(s) 0.3591 | Reduce(s) 0.0429 | Loss 0.4504
Process 004 | Epoch 00179 | Time(s) 0.6314 | Comm(s) 0.3606 | Reduce(s) 0.0425 | Loss 0.4386
Process 004 | Epoch 00189 | Time(s) 0.6327 | Comm(s) 0.3604 | Reduce(s) 0.0424 | Loss 0.4372
Process 004 | Epoch 00199 | Time(s) 0.6352 | Comm(s) 0.3604 | Reduce(s) 0.0423 | Loss 0.4293
Process 004 | Epoch 00209 | Time(s) 0.6333 | Comm(s) 0.3597 | Reduce(s) 0.0424 | Loss 0.4230
Process 004 | Epoch 00219 | Time(s) 0.6362 | Comm(s) 0.3596 | Reduce(s) 0.0428 | Loss 0.4206
Process 004 | Epoch 00229 | Time(s) 0.6367 | Comm(s) 0.3595 | Reduce(s) 0.0426 | Loss 0.4194
Process 004 | Epoch 00239 | Time(s) 0.6385 | Comm(s) 0.3603 | Reduce(s) 0.0425 | Loss 0.4113
Process 004 | Epoch 00249 | Time(s) 0.6382 | Comm(s) 0.3602 | Reduce(s) 0.0424 | Loss 0.4057
Process 004 | Epoch 00259 | Time(s) 0.6384 | Comm(s) 0.3605 | Reduce(s) 0.0424 | Loss 0.4052
Process 004 | Epoch 00269 | Time(s) 0.6381 | Comm(s) 0.3616 | Reduce(s) 0.0423 | Loss 0.4106
Process 004 | Epoch 00279 | Time(s) 0.6375 | Comm(s) 0.3612 | Reduce(s) 0.0424 | Loss 0.3982
Process 004 | Epoch 00289 | Time(s) 0.6376 | Comm(s) 0.3607 | Reduce(s) 0.0425 | Loss 0.3949
Process 004 | Epoch 00299 | Time(s) 0.6395 | Comm(s) 0.3615 | Reduce(s) 0.0424 | Loss 0.3909
Process 004 | Epoch 00309 | Time(s) 0.6393 | Comm(s) 0.3615 | Reduce(s) 0.0425 | Loss 0.3946
Process 004 | Epoch 00319 | Time(s) 0.6403 | Comm(s) 0.3622 | Reduce(s) 0.0426 | Loss 0.3903
Process 004 | Epoch 00329 | Time(s) 0.6404 | Comm(s) 0.3623 | Reduce(s) 0.0427 | Loss 0.3865
Process 004 | Epoch 00339 | Time(s) 0.6406 | Comm(s) 0.3623 | Reduce(s) 0.0426 | Loss 0.3845
Process 004 | Epoch 00349 | Time(s) 0.6416 | Comm(s) 0.3624 | Reduce(s) 0.0427 | Loss 0.3824
Process 004 | Epoch 00359 | Time(s) 0.6416 | Comm(s) 0.3626 | Reduce(s) 0.0428 | Loss 0.3860
Process 004 | Epoch 00369 | Time(s) 0.6405 | Comm(s) 0.3628 | Reduce(s) 0.0427 | Loss 0.3885
Process 004 | Epoch 00379 | Time(s) 0.6411 | Comm(s) 0.3628 | Reduce(s) 0.0427 | Loss 0.3808
Process 004 | Epoch 00389 | Time(s) 0.6416 | Comm(s) 0.3628 | Reduce(s) 0.0428 | Loss 0.3815
Process 004 | Epoch 00399 | Time(s) 0.6434 | Comm(s) 0.3631 | Reduce(s) 0.0428 | Loss 0.3745
Process 004 | Epoch 00409 | Time(s) 0.6434 | Comm(s) 0.3632 | Reduce(s) 0.0429 | Loss 0.3718
Process 004 | Epoch 00419 | Time(s) 0.6438 | Comm(s) 0.3634 | Reduce(s) 0.0429 | Loss 0.3674
Process 004 | Epoch 00429 | Time(s) 0.6446 | Comm(s) 0.3638 | Reduce(s) 0.0428 | Loss 0.3748
Process 004 | Epoch 00439 | Time(s) 0.6441 | Comm(s) 0.3639 | Reduce(s) 0.0428 | Loss 0.3697
Process 004 | Epoch 00449 | Time(s) 0.6438 | Comm(s) 0.3642 | Reduce(s) 0.0427 | Loss 0.3692
Process 004 | Epoch 00459 | Time(s) 0.6438 | Comm(s) 0.3641 | Reduce(s) 0.0428 | Loss 0.3673
Process 004 | Epoch 00469 | Time(s) 0.6436 | Comm(s) 0.3641 | Reduce(s) 0.0429 | Loss 0.3621
Process 004 | Epoch 00479 | Time(s) 0.6434 | Comm(s) 0.3642 | Reduce(s) 0.0428 | Loss 0.3635
Process 004 | Epoch 00489 | Time(s) 0.6436 | Comm(s) 0.3643 | Reduce(s) 0.0427 | Loss 0.3616
Process 004 | Epoch 00499 | Time(s) 0.6443 | Comm(s) 0.3648 | Reduce(s) 0.0426 | Loss 0.3627
(rank 4) memory stats: current 1597.19MB, peak 5256.18MB, reserved 6252.00MB
loading partitions
Process 3 has 836440 nodes, 33372329 edges 488969 inner nodes, and 27833669 inner edges.
Process 3 start training
Process 003 | Epoch 00009 | Time(s) 0.4841 | Comm(s) 0.3219 | Reduce(s) 0.0435 | Loss 1.9512
Process 003 | Epoch 00019 | Time(s) 0.5525 | Comm(s) 0.3602 | Reduce(s) 0.0398 | Loss 1.2310
Process 003 | Epoch 00029 | Time(s) 0.6145 | Comm(s) 0.3562 | Reduce(s) 0.0404 | Loss 0.9779
Process 003 | Epoch 00039 | Time(s) 0.6360 | Comm(s) 0.3577 | Reduce(s) 0.0393 | Loss 0.8382
Process 003 | Epoch 00049 | Time(s) 0.6386 | Comm(s) 0.3623 | Reduce(s) 0.0387 | Loss 0.7568
Process 003 | Epoch 00059 | Time(s) 0.6343 | Comm(s) 0.3622 | Reduce(s) 0.0385 | Loss 0.7031
Process 003 | Epoch 00069 | Time(s) 0.6336 | Comm(s) 0.3632 | Reduce(s) 0.0386 | Loss 0.6601
Process 003 | Epoch 00079 | Time(s) 0.6406 | Comm(s) 0.3654 | Reduce(s) 0.0383 | Loss 0.6350
Process 003 | Epoch 00089 | Time(s) 0.6366 | Comm(s) 0.3663 | Reduce(s) 0.0379 | Loss 0.6023
Process 003 | Epoch 00099 | Time(s) 0.6339 | Comm(s) 0.3656 | Reduce(s) 0.0379 | Loss 0.5809
Process 003 | Epoch 00109 | Time(s) 0.6309 | Comm(s) 0.3638 | Reduce(s) 0.0382 | Loss 0.5622
Process 003 | Epoch 00119 | Time(s) 0.6302 | Comm(s) 0.3640 | Reduce(s) 0.0383 | Loss 0.5478
Process 003 | Epoch 00129 | Time(s) 0.6282 | Comm(s) 0.3637 | Reduce(s) 0.0381 | Loss 0.5383
Process 003 | Epoch 00139 | Time(s) 0.6286 | Comm(s) 0.3631 | Reduce(s) 0.0381 | Loss 0.5230
Process 003 | Epoch 00149 | Time(s) 0.6275 | Comm(s) 0.3623 | Reduce(s) 0.0384 | Loss 0.5133
Process 003 | Epoch 00159 | Time(s) 0.6273 | Comm(s) 0.3618 | Reduce(s) 0.0383 | Loss 0.5052
Process 003 | Epoch 00169 | Time(s) 0.6305 | Comm(s) 0.3616 | Reduce(s) 0.0383 | Loss 0.4962
Process 003 | Epoch 00179 | Time(s) 0.6313 | Comm(s) 0.3626 | Reduce(s) 0.0379 | Loss 0.4835
Process 003 | Epoch 00189 | Time(s) 0.6326 | Comm(s) 0.3632 | Reduce(s) 0.0379 | Loss 0.4778
Process 003 | Epoch 00199 | Time(s) 0.6352 | Comm(s) 0.3643 | Reduce(s) 0.0375 | Loss 0.4722
Process 003 | Epoch 00209 | Time(s) 0.6333 | Comm(s) 0.3639 | Reduce(s) 0.0373 | Loss 0.4693
Process 003 | Epoch 00219 | Time(s) 0.6362 | Comm(s) 0.3641 | Reduce(s) 0.0373 | Loss 0.4593
Process 003 | Epoch 00229 | Time(s) 0.6367 | Comm(s) 0.3641 | Reduce(s) 0.0372 | Loss 0.4568
Process 003 | Epoch 00239 | Time(s) 0.6385 | Comm(s) 0.3650 | Reduce(s) 0.0371 | Loss 0.4513
Process 003 | Epoch 00249 | Time(s) 0.6381 | Comm(s) 0.3650 | Reduce(s) 0.0370 | Loss 0.4453
Process 003 | Epoch 00259 | Time(s) 0.6384 | Comm(s) 0.3654 | Reduce(s) 0.0368 | Loss 0.4444
Process 003 | Epoch 00269 | Time(s) 0.6381 | Comm(s) 0.3664 | Reduce(s) 0.0367 | Loss 0.4381
Process 003 | Epoch 00279 | Time(s) 0.6375 | Comm(s) 0.3666 | Reduce(s) 0.0369 | Loss 0.4336
Process 003 | Epoch 00289 | Time(s) 0.6375 | Comm(s) 0.3661 | Reduce(s) 0.0370 | Loss 0.4393
Process 003 | Epoch 00299 | Time(s) 0.6395 | Comm(s) 0.3671 | Reduce(s) 0.0370 | Loss 0.4254
Process 003 | Epoch 00309 | Time(s) 0.6394 | Comm(s) 0.3675 | Reduce(s) 0.0370 | Loss 0.4219
Process 003 | Epoch 00319 | Time(s) 0.6403 | Comm(s) 0.3682 | Reduce(s) 0.0370 | Loss 0.4182
Process 003 | Epoch 00329 | Time(s) 0.6404 | Comm(s) 0.3687 | Reduce(s) 0.0370 | Loss 0.4183
Process 003 | Epoch 00339 | Time(s) 0.6406 | Comm(s) 0.3687 | Reduce(s) 0.0369 | Loss 0.4187
Process 003 | Epoch 00349 | Time(s) 0.6416 | Comm(s) 0.3689 | Reduce(s) 0.0371 | Loss 0.4143
Process 003 | Epoch 00359 | Time(s) 0.6416 | Comm(s) 0.3689 | Reduce(s) 0.0373 | Loss 0.4153
Process 003 | Epoch 00369 | Time(s) 0.6406 | Comm(s) 0.3686 | Reduce(s) 0.0373 | Loss 0.4142
Process 003 | Epoch 00379 | Time(s) 0.6411 | Comm(s) 0.3683 | Reduce(s) 0.0373 | Loss 0.4095
Process 003 | Epoch 00389 | Time(s) 0.6416 | Comm(s) 0.3686 | Reduce(s) 0.0374 | Loss 0.4160
Process 003 | Epoch 00399 | Time(s) 0.6434 | Comm(s) 0.3689 | Reduce(s) 0.0373 | Loss 0.4044
Process 003 | Epoch 00409 | Time(s) 0.6435 | Comm(s) 0.3688 | Reduce(s) 0.0374 | Loss 0.4007
Process 003 | Epoch 00419 | Time(s) 0.6438 | Comm(s) 0.3687 | Reduce(s) 0.0374 | Loss 0.4073
Process 003 | Epoch 00429 | Time(s) 0.6446 | Comm(s) 0.3694 | Reduce(s) 0.0373 | Loss 0.3964
Process 003 | Epoch 00439 | Time(s) 0.6441 | Comm(s) 0.3691 | Reduce(s) 0.0372 | Loss 0.3951
Process 003 | Epoch 00449 | Time(s) 0.6438 | Comm(s) 0.3695 | Reduce(s) 0.0372 | Loss 0.3984
Process 003 | Epoch 00459 | Time(s) 0.6438 | Comm(s) 0.3696 | Reduce(s) 0.0373 | Loss 0.3956
Process 003 | Epoch 00469 | Time(s) 0.6436 | Comm(s) 0.3694 | Reduce(s) 0.0374 | Loss 0.3925
Process 003 | Epoch 00479 | Time(s) 0.6434 | Comm(s) 0.3694 | Reduce(s) 0.0374 | Loss 0.3896
